SiteCode|BSCName|SiteName|Vendor|Assiciated City Name|OMC|SiteType|Priority|Type|Region|Sub-Region|Comm. Region|OSV|Proposed Region|Zone|Swap Status|MBU#|RBU
PAQ5770|SUK313Z|PAQ5770__P_S_HighSchoolPannuAqil|ZTE|PANNU AQIL|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
PAQ5857|SUK313Z|PAQ5857__S_Panno_Aqil_Cantt_Saddar_Bazaar|ZTE|PANNU AQIL|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
PAQ6303|SUK313Z|PAQ6303__S_VillageChoonga|ZTE|PANNU AQIL|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
PAQ6304|SUK313Z|PAQ6304__S_VillageKamalKhan|ZTE|PANNU AQIL|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
PAQ6548|SUK313Z|PAQ6548__S_MADINAFILLINGSTATION|ZTE|PANNU AQIL|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
PAQ7065|SUK313Z|PAQ7065__P_FazalTown|ZTE|PANNU AQIL|ZTE OMC|Platinum|Platinum|Macro|South|South II|South 2|CCS|R2|29||67|South
PAQ7075|SUK313Z|PAQ7075__S_GothPirAhmadSultan|ZTE|PANNU AQIL|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
PAQ8888|SUK313Z|PAQ8888__S_Replacement_MBT2426_PannuAqilCantt|ZTE|PANNU AQIL|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
PAT6656|SUK342Z_SUKMGW_1|PAT6656__S_Adeel_Mehr|ZTE|PATNI|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
PAT6657|SUK342Z_SUKMGW_1|PAT6657__S_Goth_Bux_Katpar|ZTE|PATNI|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
Pbi0358|PSH001H__KohatRd_MGW_1|Pbi0358__H_Pabbi_sec_AB|Huawei|PABBI|Huawei OMC|Hub|Hub|Macro|North|North II|North 2|HNL|R1|18||6|North
PBI1890|PSH001H__KohatRd_MGW_1|PBI1890__S_SherKhanGarhi|Huawei|PABBI|Huawei OMC|Silver|Silver|Macro|North|North II|North 2|HNL|R1|18||6|North
PBX6171|SUK313Z|PBX6171|ZTE|M. PANNAH BUX|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||66|South
PCL8330|RYK_317Z_1_LCK|PCL8330|ZTE|PaccaLara|ZTE OMC|Silver|Silver|Macro|Center III|Center III|South 2|Mobiserve|R2|31||68|South
PCL8331|RYK_317Z_1_LCK|PCL8331|ZTE|PaccaLara|ZTE OMC|Silver|Silver|Macro|Center III|Center III|South 2|Mobiserve|R2|31||68|South
PDK1522|ISB002H__VSAT_ISB_2|PDK1522__H_PindDadanKhan|Huawei|PINDDADANKHAN|Huawei OMC|Hub|Hub|Macro|North|North I|North 3|EPTSC|R1|10||13|North
PDK2225|ISB002H__VSAT_ISB_2|PDK2225__S_MohallaAlamshah_PW|Huawei|PINDDADANKHAN|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|10||13|North
PDN1402|ISB002H__VSAT_ISB_2|PDN1402__S_Padshan|Huawei|PADSHAN|Huawei OMC|Silver|Silver|Macro|North|North I|North 1|EPTSC|R1|11||5|North
PDN1929|ISB002H__VSAT_ISB_2|PDN1929__H_ChakNaurang|Huawei|PADSHAN|Huawei OMC|Hub|Hub|Macro|North|North I|North 1|EPTSC|R1|11||5|North
PED6146|SUK342Z_SUKMGW_1|PED6146__P_Ali_Clinic_AD|ZTE|PEDIDAN|ZTE OMC|Platinum|Platinum|Macro|South|South II|South 2|CCS|R2|32||64|South
PED6147|SUK342Z_SUKMGW_1|PED6147__P_RajputRiceMill|ZTE|PEDIDAN|ZTE OMC|Platinum|Platinum|Macro|South|South II|South 2|CCS|R2|32||64|South
PED6163|SUK342Z_SUKMGW_1|PED6163__S_Kalhoro_Station|ZTE|PEDIDAN|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||64|South
