SiteCode|BSCName|SiteName|Vendor|Assiciated City Name|OMC|SiteType|Priority|Type|Region|Sub-Region|Comm. Region|OSV|Proposed Region|Zone|Swap Status|MBU#|RBU
APR3644|BHP101E|APR3644__H_QalindarHussain_APE|Ericsson|AHMADPUREAST|Ericsson OMC|Hub|Hub|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
APR3911|BHP101E|APR3911__H_GhallaMandiAPR_PW|Ericsson|AHMADPUREAST|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
MAR6182|BHP103E|MAR6182__S_ChakNo330HR|Ericsson|C658_Marot|Ericsson OMC|Silver|Silver|Macro|Center II|Center III|Central 5|Mobiserve|R2|28||52|Central-I
JAN6660|SUK342Z_SUKMGW_1|JAN6660__S_Nehal_KhanKaku|ZTE|JANDOWAN|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
JAN6662|SUK342Z_SUKMGW_1|JAN6662__H_Faqirabad2|ZTE|JANDOWAN|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
JUL7118|HYD311H__HYDMGW_1|JUL7118__Juluri P_58|Huawei|Juluri|Huawei OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|34||72|South
APR7287|BHP101E|APR7287__S_MohallahMadni|Ericsson|AHMADPUREAST|Ericsson OMC|Silver|Silver|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
APR7485|BHP101E|APR7485__S_MohallahSarwarShah|Ericsson|AHMADPUREAST|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
APR8387|BHP101E|APR8387__S_AmeerAlamColony|Ericsson|AHMADPUREAST|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
APR8895|BHP101E|APR8895__S_AlShiekhTown|Ericsson|AHMADPUREAST|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
AAK6991|GUJ002H__Ferozeabad_GUJ_2|AAK6991__S_Bhikki|Huawei|Mandi Bhudin|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Mobiserve|R1|10||43|Central-I
AAL2251|ISB006H__I10_ISB_6|AAL2251__S_KARAG|Huawei|ALAI|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|16||12|North
AAL2252|ISB006H__I10_ISB_6|AAL2252__S_POKAL|Huawei|ALAI|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|16||12|North
AAL7845|ISB006H__I10_ISB_6|AAL7845__S_Syedabad|Huawei|ALAI|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|16||12|North
ABB4360|RYK_317Z_1_LCK|ABB4360|ZTE|ABBASIA|ZTE OMC|Silver|Silver|Macro|Center III|Center III|South 2|Mobiserve|R2|31||69|South
ABB4361|RYK_317Z_1_LCK|ABB4361|ZTE|ABBASIA|ZTE OMC|Silver|Silver|Macro|Center III|Center III|South 2|Mobiserve|R2|31||69|South
ABD8702|SGD162E|ABD8702|Ericsson|Sargodha|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|EPTSC|R2|20||31|Central-II
ABD8704|SGD162E|ABD8704|Ericsson|Sargodha|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|EPTSC|R2|20||31|Central-II
ABH4291|MUL152E|ABH4291|Ericsson|ABDULHAKIM|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|EPTSC|R2|23||34|Central-II
ABH4954|MUL152E|ABH4954|Ericsson|ABDULHAKIM|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|EPTSC|R2|23||#N/A|Central-II
ABN4370|BHP105E|ABN4370|Ericsson|AbbasNayar|Ericsson OMC|Silver|Silver|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||35|Central-II
ABT0080|ISB001H__I10_ISB_1|ABT0080__H_Kholla_Abbotabad|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT0286|ISB006H__I10_ISB_6|ABT0286__H_MuqaddasPlaza|Huawei|ABBOTABAD|Huawei OMC|Hub|Hub|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT0836|ISB001H__I10_ISB_1|ABT0836__H_Sikandarabad|Huawei|ABBOTABAD|Huawei OMC|Hub|Hub|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1042|ISB001H__I10_ISB_1|ABT1042__P_SarbanChowk|Huawei|ABBOTABAD|Huawei OMC|Platinum|Platinum|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1159|ISB001H__I10_ISB_1|ABT1159__S_Jhugiaan|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1416|ISB001H__I10_ISB_1|ABT1416__S_HabibullahColony|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1451|ISB001H__I10_ISB_1|ABT1451__S_Narian|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1452|ISB001H__I10_ISB_1|ABT1452__P_JabpulJahngi|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1553|ISB006H__I10_ISB_6|ABT1553__S_AyubComplex|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1709|ISB006H__I10_ISB_6|ABT1709__S_Abottabad1N|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1869|ISB001H__I10_ISB_1|ABT1869__S_BanniTownship|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT2076|ISB006H__I10_ISB_6|ABT2076__P_Mandian|Huawei|ABBOTABAD|Huawei OMC|Platinum|Platinum|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT2587|ISB006H__I10_ISB_6|ABT2587__S_JamiaGhousia|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT7004|ISB006H__I10_ISB_6|ABT7004__U_FMCMIC|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Micro/Mini|North|North I|North 3|EPTSC|R1|15||14|North
ABT7128|ISB001H__I10_ISB_1|ABT7128__S_WaheedcentreMini|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Micro/Mini|North|North I|North 3|EPTSC|R1|15||14|North
ABW8562|BHP100E|ABW8562|Ericsson|AbwarraShumali|Ericsson OMC|Hub|Hub|Macro|Center III|Center III|Central 3|Mobiserve|R2|28||37|Central-II
ABW8578|BHP100E|ABW8578|Ericsson|AbwarraShumali|Ericsson OMC|Silver|Silver|Macro|Center III|Center III|Central 3|Mobiserve|R2|28||42|Central-II
ADK4595|SGD163E|ADK4595|Ericsson|Khushab|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|EPTSC|R2|20||32|Central-II
ADK4676|SGD163E|ADK4676|Ericsson|Khushab|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|EPTSC|R2|20||32|Central-II
ADK8577|SGD163E|ADK8577|Ericsson|Khushab|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|EPTSC|R2|20||32|Central-II
ADL0847|ISB002H__VSAT_ISB_2|ADL0847__S_DharyalaJalap|Huawei||Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|10||13|North
ADL1718|ISB002H__VSAT_ISB_2|ADL1718__S_Sauwal|Huawei|ADOWAL|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|10||13|North
ADL2960|ISB002H__VSAT_ISB_2|ADL2960__S_Adowal|Huawei|ADOWAL|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|10||13|North
ADM5212|HYD343Z_HYDMGW_1|ADM5212__H_Tando_Adam_Rly_St|ZTE|TANDO ADAM|ZTE OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|33||75|South
ADM5332|HYD343Z_HYDMGW_1|ADM5332__P_Pak_CottonTandoAdam|ZTE|TANDO ADAM|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||75|South
ADM6553|HYD343Z_HYDMGW_1|ADM6553__S_Arbab_Goth|ZTE|TANDO ADAM|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||75|South
ADM6833|HYD343Z_HYDMGW_1|ADM6833__S_Allahyar_Goth|ZTE|TANDO ADAM|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||75|South
ADM7799|HYD343Z_HYDMGW_1|ADM7799__P_Malik_Iron_Store|ZTE|TANDO ADAM|ZTE OMC|Platinum|Platinum|Macro|South|South II|South 4|Myson|R2|33||75|South
ADM7890|HYD343Z_HYDMGW_1|ADM7890__P_FatehPuriMasjid|ZTE|TANDO ADAM|ZTE OMC|Platinum|Platinum|Macro|South|South II|South 4|Myson|R2|33||75|South
ADM7892|HYD343Z_HYDMGW_1|ADM7892__P_Madina_Tul_Uloom_GSM|ZTE|TANDO ADAM|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||75|South
ADP7117|SUK313Z|ADP7117__S_AdilpurP-48|ZTE|Adil Pur|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
ADW4580|BHP100E|ADW4580|Ericsson|ADAMWAN|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||36|Central-II
ADW8656|BHP100E|ADW8656|Ericsson|ADAMWAN|Ericsson OMC|Silver|Silver|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||36|Central-II
AGB7077|SUK313Z|AGB7077|ZTE|AGB|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||66|South
AGR0810|SUK313Z|AGR0810|ZTE|AgraTown|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||65|South
AHD8026|FSD124E|AHD8026|Ericsson|Toba Tek Singh|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 5|EPTSC|R2|23||53|Central-I
AHD8027|FSD124E|AHD8027|Ericsson|Toba Tek Singh|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 5|EPTSC|R2|23||53|Central-I
AHD8028|FSD124E|AHD8028|Ericsson|Toba Tek Singh|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 5|EPTSC|R2|23||53|Central-I
AHD8029|FSD124E|AHD8029|Ericsson|Toba Tek Singh|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 5|EPTSC|R2|23||53|Central-I
AHM8024|SHW052H__MGWSHW_7|AHM8024__S_Chak184-9L|Huawei|Sahiwal|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||56|Central-I
AHM8025|SHW052H__MGWSHW_7|AHM8025__P_Chak139-9L|Huawei|Sahiwal|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||56|Central-I
AHN8062|MUL152E|AHN8062|Ericsson|C692X_Ahmednagar|Ericsson OMC|Silver|Silver|Macro|Center II|Center III|Central 5|Mobiserve|R2|25||56|Central-I
AIL7122|SUK313Z|AIL7122|ZTE|Akil|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||64|South
AJW1368|ISB006H__I10_ISB_6|AJW1368__S_Ajowala|Huawei|AJOWALA|Huawei OMC|Silver|Silver|Macro|North|North I|North 1|EPTSC|R1|11||4|North
AJW2459|ISB006H__I10_ISB_6|AJW2459__S_Bhal_Syedan_Charat|Huawei|AJOWALA|Huawei OMC|Silver|Silver|Macro|North|North I|North 1|EPTSC|R1|11||4|North
AJW7146|ISB006H__I10_ISB_6|AJW7146__S_Jafar|Huawei|AJOWALA|Huawei OMC|Silver|Silver|Macro|North|North I|North 1|EPTSC|R1|11||4|North
AKA7571|BHP103E|AKA7571|Ericsson|AKTARABAD|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center III|Central 5|Mobiserve|R2|28||52|Central-I
AKA7572|BHP103E|AKA7572|Ericsson|AKTARABAD|Ericsson OMC|Silver|Silver|Macro|Center II|Center III|Central 5|Mobiserve|R2|28||52|Central-I
AKD2954|GUJ002H__Ferozeabad_GUJ_2|AKD2954__S_Amrakhurd|Huawei|Mandi Bhudin|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Mobiserve|R1|10||43|Central-I
AKG8021|MUL152E|AKG8021|Ericsson|C55B_Akalgarh|Ericsson OMC|Silver|Silver|Macro|Center II|Center III|Central 5|Mobiserve|R2|25||56|Central-I
AKG8022|MUL152E|AKG8022|Ericsson|C55B_Akalgarh|Ericsson OMC|Silver|Silver|Macro|Center II|Center III|Central 5|Mobiserve|R2|25||56|Central-I
AKG8023|MUL152E|AKG8023|Ericsson|C55B_Akalgarh|Ericsson OMC|Silver|Silver|Macro|Center II|Center III|Central 5|Mobiserve|R2|25||56|Central-I
AKH7519|SGD161E|AKH7519|Ericsson|Mianwali|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|EPTSC|R2|20||30|Central-II
AKH7520|SGD161E|AKH7520|Ericsson|Mianwali|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|EPTSC|R2|20||30|Central-II
AKH7521|SGD161E|AKH7521|Ericsson|Mianwali|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|EPTSC|R2|20||30|Central-II
AKI2222|ISB006H__I10_ISB_6|AKI2222__S_Akhori|Huawei|AKORI|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|11||14|North
AKI2223|ISB006H__I10_ISB_6|AKI2223__S_JabbiKasran|Huawei|AKORI|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|11||14|North
AKI2224|ISB001H__I10_ISB_1|AKI2224__H_PindTrair|Huawei|AKORI|Huawei OMC|Hub|Hub|Macro|North|North I|North 3|EPTSC|R1|15||14|North
AKK1529|PSH001H__KohatRd_MGW_1|AKK1529__H_RlyStnAkoraKhattak|Huawei|AKHORAKHATTAK|Huawei OMC|Hub|Hub|Macro|North|North II|North 2|HNL|R1|17||6|North
AKK1853|PSH001H__KohatRd_MGW_1|AKK1853__S_Karimabad|Huawei|AKHORAKHATTAK|Huawei OMC|Platinum|Platinum|Macro|North|North II|North 2|HNL|R1|17||6|North
AKK7894|PSH001H__KohatRd_MGW_1|AKK7894__S_PTC_FirstAidRoom|Huawei|AKHORAKHATTAK|Huawei OMC|Platinum|Platinum|Micro/Mini|North|North II|North 2|HNL|R1|17||6|North
AKO0954|SUK314Z|AKO0954__S_GothKamalKhanBhangwar|ZTE|AKHAIRO|ZTE OMC|Silver|Silver|Macro|Center III|South II|South 2|CCS|R2|31||66|South
AKO0989|SUK314Z|AKO0989__H_GothTaroKhanBhangwar|ZTE|AKHAIRO|ZTE OMC|Silver|Silver|Macro|Center III|South II|South 2|CCS|R2|31||66|South
AKR6613|SUK342Z_SUKMGW_1|AKR6613__S_Akri_Choudgai|ZTE|AAKRRI|ZTE OMC|Platinum|Platinum|Macro|South|South II|South 2|CCS|R2|32||65|South
AKR6614|SUK342Z_SUKMGW_1|AKR6614__S_Mistari_M_HusainChm_3|ZTE|AAKRRI|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
AKR6615|SUK342Z_SUKMGW_1|AKR6615__S_Khushk_Khair_Faqie_D|ZTE|AAKRRI|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
ALA5213|HYD311H__HYDMGW_1|ALA5213__H_Tando_Alla_Yar_Railwa|Huawei|TANDO ALAYAAR|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||72|South
ALA5689|HYD311H__HYDMGW_1|ALA5689__S_Akram Colony|Huawei|TANDO ALAYAAR|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||72|South
ALA5912|HYD311H__HYDMGW_1|ALA5912__S_S_MktRd_TandoAlyar|Huawei|TANDO ALAYAAR|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||72|South
ALA6306|HYD311H__HYDMGW_1|ALA6306__P_Abbas Nizam Petrol Pump|Huawei|TANDO ALAYAAR|Huawei OMC|Platinum|Platinum|Macro|South|South II|South 4|Myson|R2|34||72|South
ALA6318|HYD311H__HYDMGW_1|ALA6318__H_MirShahMuhd_Cly|Huawei|TANDO ALAYAAR|Huawei OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|34||72|South
ALA6555|HYD311H__HYDMGW_1|ALA6555__P_Kashmir Colony Tando Alayaar|Huawei|TANDO ALAYAAR|Huawei OMC|Platinum|Platinum|Macro|South|South II|South 4|Myson|R2|34||72|South
ALA6783|HYD311H__HYDMGW_1|ALA6783__P_Chambar Naka|Huawei|TANDO ALAYAAR|Huawei OMC|Platinum|Platinum|Macro|South|South II|South 4|Myson|R2|34||72|South
ALA6832|HYD311H__HYDMGW_1|ALA6832__S_Eidgah_Alayar|Huawei|TANDO ALAYAAR|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||72|South
ALA7782|HYD311H__HYDMGW_1|ALA7782__S_Falcon Public School|Huawei|TANDO ALAYAAR|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||72|South
ALC3049|GUJ547H__Pindibypass_10|ALC3049__S_JamiaMuhammadia|Huawei|Gujranwala|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Mobiserve|R1|9||47|Central-I
ALC3447|GUJ547H__Pindibypass_10|ALC3447__H_IkalGarhAlipurChat-3|Huawei|Gujranwala|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 4|Mobiserve|R1|9||47|Central-I
ALC8810|GUJ547H__Pindibypass_10|ALC8810__P_ChoriGali|Huawei|Gujranwala|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 4|Mobiserve|R1|9||47|Central-I
ALC9648|GUJ547H__Pindibypass_10|ALC9648__S_MuhallaHaiderabad|Huawei|Gujranwala|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Mobiserve|R1|9||47|Central-I
ALH0052|SUK314Z|ALH0052|ZTE|ALLAH ABAD|ZTE OMC|Silver|Silver|Macro|South|South II|South 3|CCS|R2|29||71|South
ALH6611|SUK342Z_SUKMGW_1|ALH6611__P_Piaro|ZTE|ALLAH ABAD|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|32||73|South
ALH6612|SUK342Z_SUKMGW_1|ALH6612__S_Fulji_Station|ZTE|ALLAH ABAD|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|32||73|South
ALI7332|OKR048H__MGWSHW_6|ALI7332__S_Chak28_2L|Huawei|Okara|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
ALL6664|SUK314Z|ALL6664|ZTE|ALLAN PUR|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||66|South
ALL6665|SUK314Z|ALL6665|ZTE|ALLAN PUR|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||66|South
ALM0875|MUL158E|ALM0875|Ericsson|ALAMGIR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|EPTSC|R2|24||42|Central-II
ALM1666|MUL158E|ALM1666|Ericsson|ALAMGIR|Ericsson OMC|Hub|Hub|Macro|Center III|Center III|Central 3|EPTSC|R2|24||42|Central-II
ALM2014|MUL158E|ALM2014|Ericsson|ALAMGIR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|EPTSC|R2|24||42|Central-II
ALM2015|MUL158E|ALM2015|Ericsson|ALAMGIR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|EPTSC|R2|24||42|Central-II
ALM4386|MUL158E|ALM4386|Ericsson|ALAMGIR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|EPTSC|R2|24||42|Central-II
ALM4387|MUL150E|ALM4387|Ericsson|ALAMGIR|Ericsson OMC|Silver|Silver|Macro|Center III|Center III|Central 3|EPTSC|R2|24||42|Central-II
ALN2016|BHP318Z_ZTE_BSC_1_LCK|ALN2016|ZTE|ALIWAHIN|ZTE OMC|Silver|Silver|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
ALN7532|BHP318Z_ZTE_BSC_1_LCK|ALN7532|ZTE|ALIWAHIN|ZTE OMC|Silver|Silver|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
ALN7533|BHP318Z_ZTE_BSC_1_LCK|ALN7533|ZTE|ALIWAHIN|ZTE OMC|Silver|Silver|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
ALN7534|BHP100E|ALN7534|Ericsson|ALIWAHIN|Ericsson OMC|Hub|Hub|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
ALP2530|JHL002H__Rasheedabad_JHE_2|ALP2530__S_Barkale|Huawei|Alpuri|Huawei OMC|Silver|Silver|Macro|North|North II|North 2|HNL|R1|16||79|North
ALP2531|JHL002H__Rasheedabad_JHE_2|ALP2531__P_BandaChima|Huawei|Alpuri|Huawei OMC|Silver|Silver|Macro|North|North II|North 2|HNL|R1|16||79|North
ALP2551|JHL002H__Rasheedabad_JHE_2|ALP2551__P_NaweKaleyLiloni|Huawei|Alpuri|Huawei OMC|Silver|Silver|Macro|North|North II|North 2|HNL|R1|16||79|North
AMG3497|GUJ001H__Ferozeabad_GUJ_1|AMG3497__S_Ahmad_Nagar|Huawei|Gujranwala|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Mobiserve|R1|9||47|Central-I
AMG8795|GUJ001H__Ferozeabad_GUJ_1|AMG8795__S_Ludhaywala|Huawei|Gujranwala|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Mobiserve|R1|9||47|Central-I
AMG8797|GUJ001H__Ferozeabad_GUJ_1|AMG8797__S_KaluCheema|Huawei|Gujranwala|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Mobiserve|R1|9||47|Central-I
AMI4376|MUL159E|AMI4376|Ericsson|Amirabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center III|Central 5|Mobiserve|R2|25||56|Central-I
AMN3074|GUJ546H__Pindibypass_9|AMN3074__P_Tank2|Huawei|Gujranwala|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 4|Mobiserve|R1|7||44|Central-I
AMN3902|GUJ546H__Pindibypass_9|AMN3902__S_GUJAimnabadCity|Huawei|Gujranwala|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Mobiserve|R1|7||44|Central-I
AMR6632|HYD343Z_HYDMGW_1|AMR6632__S_Sann_City|ZTE|AMRI|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||73|South
AMR6633|HYD343Z_HYDMGW_1|AMR6633__S_AlamKhanChhachhar|ZTE|AMRI|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||73|South
AMR6634|HYD343Z_HYDMGW_1|AMR6634__S_Goth_MehrabPur|ZTE|AMRI|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||73|South
AMT7586|MUL159E|AMT7586|Ericsson|Chak42B|Ericsson OMC|Silver|Silver|Macro|Center III|Center III|Central 3|Mobiserve|R2|25||34|Central-II
AMW2978|ISB003H__I10_ISB_3|AMW2978__S_ManjiWala|Huawei|AzamManjiWala|Huawei OMC|Silver|Silver|Macro|North|North II|North 2|HNL|R1|17||77|North
AND4377|MUL159E|AND4377|Ericsson|Anandsar|Ericsson OMC|Hub|Hub|Macro|Center II|Center III|Central 5|Mobiserve|R2|25||56|Central-I
ANP8723|FSD126E|ANP8723|Ericsson|Jhang|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|EPTSC|R2|22||29|Central-II
APR0083|BHP101E|APR0083|Ericsson|AHMADPUREAST|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
APR0437|BHP101E|APR0437|Ericsson|AHMADPUREAST|Ericsson OMC|Hub|Hub|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
APS4890|MUL152E|APS4890|Ericsson|AHMEDPURSAYAL|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center III|Central 2|EPTSC|R2|23||29|Central-II
ARA7546|FSD123E|ARA7546_S|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|EPTSC|R2|23||26|Central-II
ARA7547|FSD123E|ARA7547_S|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|EPTSC|R2|23||26|Central-II
ARA7548|RYK171E|ARA7548|Ericsson|Faisalabad|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|EPTSC|R2|23||26|Central-II
ARF6180|BHP104E|ARF6180|Ericsson|Pakpattan|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 5|Mobiserve|R2|25||50|Central-I
ARF6181|BHP104E|ARF6181|Ericsson|Pakpattan|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 5|Mobiserve|R2|25||50|Central-I
ARI7105|SUK342Z_SUKMGW_1|ARI7105__S_Arija_UP|ZTE|Arija|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||64|South
ARJ0904|HYD312H__HYDMGW_2|ARJ0904__S_Chak15|Huawei|Ahmed Rajo|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||78|South
ARJ0905|HYD312H__HYDMGW_2|ARJ0905__S_Chak48|Huawei|Ahmed Rajo|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||78|South
ARN8599|FSD125E|ARN8599|Ericsson|Jhang|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|EPTSC|R2|22||28|Central-II
ARW0867|BHP104E|ARW0867|Ericsson|Pakpattan|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 5|Mobiserve|R2|25||50|Central-I
ARW3115|BHP104E|ARW3115|Ericsson|Pakpattan|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 5|Mobiserve|R2|25||50|Central-I
ARW3906|BHP104E|ARW3906|Ericsson|Pakpattan|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 5|Mobiserve|R2|25||50|Central-I
ARW4109|BHP104E|ARW4109|Ericsson|Pakpattan|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 5|Mobiserve|R2|25||50|Central-I
ARW4402|BHP104E|ARW4402|Ericsson|Pakpattan|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 5|Mobiserve|R2|25||50|Central-I
ARW4403|BHP104E|ARW4403|Ericsson|Pakpattan|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 5|Mobiserve|R2|25||50|Central-I
ARW7297|BHP104E|ARW7297|Ericsson|Pakpattan|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 5|Mobiserve|R2|25||50|Central-I
