SiteCode|BSCName|SiteName|NoofCells|Vendor|Assiciated City Name|OMC|SiteType|Priority|Type|Region|Sub-Region|Comm. Region|OSV|Proposed Region|Zone|MBU#|RBU
LHR0544|ULHR204H__RNC_FRF_3|ULHR0544__UIchraMore|3|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|5|15|Central-I
LHR0545|"
ULHR201H__RNC_FRF_1"|ULHR0545__UShaukatKhanum|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR0547|ULHR204H__RNC_FRF_3|ULHR0547__BedianRd|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|15|Central-I
LHR0549|"
ULHR201H__RNC_FRF_1"|ULHR0549__S_Gulberg|6|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|5|18|Central-I
LHR0550|"
ULHR201H__RNC_FRF_1"|ULHR0550__UNishatColony|6|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|4|17|Central-I
LHR0551|"
ULHR201H__RNC_FRF_1"|ULHR0551__BokhariAutos|3|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|4|18|Central-I
LHR0552|ULHR204H__RNC_FRF_3|ULHR0552__H_TezabAhata|3|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|6|19|Central-I
LHR0554|"
ULHR201H__RNC_FRF_1"|ULHR0554__PecoRdKotLakhpat|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR0555|ULHR204H__RNC_FRF_3|ULHR0555__S_VenusCinema|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|15|Central-I
LHR0561|ULHR204H__RNC_FRF_3|ULHR0561__H_BBlkAzamGarden|3|Huawei|Rawind|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR0562|ULHR204H__RNC_FRF_3|ULHR0562__S_WasanPura|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|19|Central-I
LHR0576|"
ULHR201H__RNC_FRF_1"|ULHR0576__MainBoulevardDefenc|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|4|17|Central-I
LHR0577|ULHR204H__RNC_FRF_3|ULHR0577__SafanwalaChowk|3|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|6|15|Central-I
LHR0579|ULHR204H__RNC_FRF_3|ULHR0579__S_RajHotelLitton|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|18|Central-I
LHR0580|ULHR204H__RNC_FRF_3|ULHR0580__PlazaCinema|3|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|6|15|Central-I
LHR0594|"
ULHR201H__RNC_FRF_1"|ULHR0594__CocaColaOffice|1|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Micro/Mini|Center I|Center I|Central 1|Huawei|R1|5|18|Central-I
LHR0601|"
ULHR201H__RNC_FRF_1"|ULHR0601__P_PCSIR|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR0605|ULHR204H__RNC_FRF_3|ULHR0605__S_Riwaz|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|15|Central-I
LHR0606|"
ULHR201H__RNC_FRF_1"|ULHR0606__BroadwayBakersWahda|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|5|15|Central-I
LHR0608|ULHR204H__RNC_FRF_3|ULHR0608__S_ChamraMandinew|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|6|19|Central-I
LHR0610|ULHR204H__RNC_FRF_3|ULHR0610__H_SabziMandiRlwy|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|6|19|Central-I
LHR0611|"
ULHR201H__RNC_FRF_1"|ULHR0611__S_Badian_Road_Askari|6|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|4|17|Central-I
LHR0614|"
ULHR201H__RNC_FRF_1"|ULHR0614__URBlkDHA|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|17|Central-I
LHR0615|"
ULHR201H__RNC_FRF_1"|ULHR0615__ShabibJinnahHospt|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR0616|ULHR204H__RNC_FRF_3|ULHR0616__P_ChowkMinarePakistan|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|6|21|Central-I
LHR0617|"
ULHR201H__RNC_FRF_1"|ULHR0617__TownshipBazar|3|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR0618|ULHR204H__RNC_FRF_3|ULHR0618__ShezanBundRoad|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|5|15|Central-I
LHR0620|"
ULHR201H__RNC_FRF_1"|ULHR0620__S_RCFactoryGuruManga|3|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|5|18|Central-I
LHR0621|"
ULHR201H__RNC_FRF_1"|ULHR0621__SonehriBank|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR0622|ULHR204H__RNC_FRF_3|ULHR0622__HolidayInnAjwa|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|18|Central-I
LHR0624|ULHR204H__RNC_FRF_3|ULHR0624__ZamanParkUpper|3|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|6|18|Central-I
LHR0625|ULHR204H__RNC_FRF_3|ULHR0625__lHamdPlazaLawrence|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|5|15|Central-I
LHR0626|ULHR204H__RNC_FRF_3|ULHR0626__H_KamalGunj|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|21|Central-I
LHR0627|ULHR204H__RNC_FRF_3|ULHR0627__S_MohniRoad|3|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|6|21|Central-I
LHR0632|"
ULHR201H__RNC_FRF_1"|ULHR0632__S_Guldasht_Town|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|6|18|Central-I
LHR0636|ULHR204H__RNC_FRF_3|ULHR0636__S_AwaanTown|3|Huawei|Rawind|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR0637|ULHR204H__RNC_FRF_3|ULHR0637__UMustafabad|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|18|Central-I
LHR0655|ULHR204H__RNC_FRF_3|ULHR0655__UManzoorParkGulshan|3|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|5|15|Central-I
LHR0670|"
ULHR201H__RNC_FRF_1"|ULHR0670__ShershahBlkGarden|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR0671|"
ULHR201H__RNC_FRF_1"|ULHR0671__UAmarSadhu|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|17|Central-I
LHR0672|ULHR204H__RNC_FRF_3|ULHR0672__Neelum|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|5|15|Central-I
LHR0682|ULHR204H__RNC_FRF_3|ULHR0682__BackOf|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|19|Central-I
LHR0683|ULHR204H__RNC_FRF_3|ULHR0683__RasoolPark|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|5|15|Central-I
LHR0685|ULHR204H__RNC_FRF_3|ULHR0685__SikandarRoadScotch|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|18|Central-I
LHR0707|ULHR204H__RNC_FRF_3|ULHR0707__GulshanBLK|3|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|5|15|Central-I
LHR0718|"
ULHR201H__RNC_FRF_1"|ULHR0718__MOQShamiRoad|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|5|18|Central-I
LHR0730|ULHR204H__RNC_FRF_3|ULHR0730__S_PaniwalaTalab|3|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|6|19|Central-I
LHR0745|ULHR204H__RNC_FRF_3|ULHR0745__UBahriaComplex|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|15|Central-I
