MRP635M__BSC103_SecB4Mirpur_2,Motorola,18
LHR864H__FRF_8,Huawei,18
DDU754E__DADU,Alcatel,18
JHE007M__BSC16_ShandarChowk,Motorola,18
NOW085M__BSC12_Malikabad,Motorola,18
KTI574M__BSC28_LASDAMAN_1,Motorola,17
SUK806E__MGWSUK_8,Alcatel,17
GJR196M__BSC10_MumtazCenter,Motorola,17
MBN784M__BSC88_RailwayRd_2,Motorola,17
CWA251M__BSC75_SabziMandi,Motorola,17
KHI588E__Barq2_18,Alcatel,17
SGD597M__BSC69_Suleman_2,Motorola,17
ARW426E__PKPRoad3,Alcatel,17
GJR377M__BSC23_CheemaCly,Motorola,16
LHR859H__FRF_3,Huawei,16
MUL660E__MGWMUL_6,Alcatel,16
MRP455M__BSC29_Mirpur,Motorola,16
WZB373M__BSC56_Modelcolony,Motorola,16
CWA506M__BSC112_Balkasar_2,Motorola,16
LHR856H__Eden_2,Huawei,16
CWA097M__BSC19_CityCenter,Motorola,16
SWB573M__BSC9_MainChkSwabi_1,Motorola,15
SKP342E__ShikarpurRly_2,Alcatel,15
CWA459M__BSC35_Balkasar,Motorola,15
MRD168M__BSC55_PakistanChowk_2,Motorola,15
WZB783M__BSC68_JanobiPhatak_1,Motorola,15
HRR318M__BSC5_AslamKhanCly_1,Motorola,15
JHE871M__BSC160_ShandarChowk_2,Motorola,15
MRE011M__BSC1_GPO_1,Motorola,15
KMA532M__BSC166_VesaKamilpur_2,Motorola,15
LHR853H__FRF_1,Huawei,15
GJR456M__BSC62_ZahoorPalace_1,Motorola,15
HRR834M__BSC65_AslamKhanCly_2,Motorola,15
MGH662E__MGWMGH_3,Alcatel,15
MZD406M__BSC23_PTVTower_2,Motorola,14
ABT458M__BSC33_MuqaddasPlaza,Motorola,14
SKT195M__BSC87_NaikaPura_3,Motorola,14
FTJ427M__BSC112_FatehJang,Motorola,14
KHR063M__BSC7_FruitMandi,Motorola,14
ABT183M__BSC58_Sikandarabad_2,Motorola,14
DSK298M__BSC71_Daska_2,Motorola,14
GJK572M__BSC4_Sohawa_1,Motorola,14
MRE243M__BSC72_GPO_2,Motorola,14
SGD038M__BSC010_HyderabadTwn_1,Motorola,14
FTJ313M__BSC88_MSC5_NA2_8,Motorola,14
ABT224M__BSC40_Sikandarabad_3,Motorola,14
HYD723E__MGWHYD_8,Alcatel,14
DDU797E__DADU2,Alcatel,14
MOR755E__Moro_2,Alcatel,13
DSK065M__BSC5_Daska,Motorola,13
SKT654M__BSC93_HajiPura_2,Motorola,13
LHR861H__FRF_5,Huawei,13
GJR567M__BSC30_ZahoorPalace_2,Motorola,13
GJR268M__BSC41_MumtazCentr_2,Motorola,13
MBN537M__BSC15_RailwayRd,Motorola,13
CWA733M__BSC02_KalarKahar_2,Motorola,13
SKT771M__BSC80_MGWSKT_4,Motorola,13
ABT040M__BSC39_Sikandarabad_1,Motorola,13
MRD402M__BSC17_MohiBanda,Motorola,13
VHR614E__RailwaySt_1,Alcatel,13
JHE149M__BSC51_BilalTown,Motorola,13
SKT025M__BSC11_QilaSialkot,Motorola,13
SGD045M__BSC136_HyderabadTwn_7,Motorola,13
MRE732M__BSC05_GhoraGali_2,Motorola,13
SKT294M__BSC148_Rangpura,Motorola,13
GJK046M__BSC45_GjrKhnCty_1,Motorola,13
MLS615E__PuranaHasilpur_1,Alcatel,12
JHE088M__BSC20_JehlumGTRoad,Motorola,12
DIR667M__BSC119_GulabadDir_1,Motorola,12
MRD134M__BSC31_PRCCinema,Motorola,12
FSD813E__Sahil6,Alcatel,12
GJR295M__BSC42_Jatowaqal,Motorola,12
MRD287M__BSC66_Parhoti,Motorola,12
NOW634M__BSC102_Pabbi_2,Motorola,12
WZB138M__BSC66_Nizamabad,Motorola,12
SKT126M__BSC65_NaikaPura_1,Motorola,12
SGD041M__BSC135_HyderabadTwn_4,Motorola,12
DIR852M__BSC120_GulabadDir_2,Motorola,12
SGD364M__BSC89_HyderabadTwn_3,Motorola,12
SKT266M__BSC009_ModelTown_2,Motorola,12
CWA354M__BSC97_SabziMandi_2,Motorola,12
GJR162M__BSC75_Shadman_2,Motorola,12
MRE356M__BSC100_GhoraGali,Motorola,12
SKT324M__BSC61_Zohra,Motorola,12
KMA059M__BSC3_Kamra,Motorola,12
SKT563M__BSC22_Rangpura_2,Motorola,12
MZD633M__BSC106_KotKummi_1,Motorola,12
SKT580M__BSC45_HajiPura,Motorola,12
QTA221E__MGWQTA_3,Alcatel,12
GJR558M__BSC47_Ferozabad_1,Motorola,11
RYK663E__GulshaneIqbal_5,Alcatel,11
GJR019M__BSC12_GJRServiceMore,Motorola,11
MRD601M__BSC109_MohiBanda_2,Motorola,11
GJR372M__BSC37__CheemaCly_2,Motorola,11
NOW314M__BSC41_Pabbi,Motorola,11
FTJ741M__BSC115_FatehJang_2,Motorola,11
JHE338M__BSC89_Chapper,Motorola,11
TXA245M__BSC74_Taxila_2,Motorola,11
SKT692M__BSC203_MGWSKT_2,Motorola,11
RWP143M__BSC50_LiaquatBagh_1,Motorola,11
KHR444M__BSC32_DhoriaDingaRd,Motorola,11
MRD312M__BSC94_Parhoti_2,Motorola,10
ISB107M__BSC9_F6Markaz,Motorola,10
GJR774M__BSC85_Ferozabad_2,Motorola,10
GLT656A__Zulfiqar_1,Alcatel,10
SKT361M__BSC57_Shahabpura,Motorola,10
SKT454M__BSC40_ShahabPura_2,Motorola,10
TXA367M__BSC24_MotorwayTaxila,Motorola,10
KMA366M__BSC22_VesaKamilpur,Motorola,10
JRD612E__Sundar2,Alcatel,10
MZD362M__BSC98_PTVTower,Motorola,10
ABT428M__BSC44_AkbarKhanCly,Motorola,10
ABT403M__BSC36_HabibUllah_2,Motorola,10
KHR840M__BSC231_DhoriaDingaRd_2,Motorola,10
ATK227M__BSC70_RlwyStnAttock,Motorola,10
KHR244M__BSC073_FruitMandi_2,Motorola,9
DSK641M__BSC76_GovtCollege_1,Motorola,9
TXA050M__BSC46_Taxila_1,Motorola,9
GJR082M__BSC20_Shadman_1,Motorola,9
TXA661M__BSC111_ThattaKhalil_1,Motorola,9
SKT668M__BSC81_MGWSialKot_1,Motorola,9
MBN695M__BSC206_PhaliaRd_1,Motorola,9
SGD571M__BSC81_Suleman_1,Motorola,9
SKT178M__BSC69_NaikaPura_2,Motorola,9
FTJ009M__BSC15_MSC5_NA_3,Motorola,8
SKT782M__BSC94_MGWSKT_5,Motorola,8
KRM460M__BSC18_Thall_1,Motorola,8
SKT907M__BSC29_Zohra_3,Motorola,8
SKT072M__BSC53_ModelTown,Motorola,7
SKU713E__Kashmiri_1,Alcatel,7
SKT693M__BSC204_MGWSKT_3,Motorola,7
PSH665M__BSC116_MGWKohatRoad,Motorola,6
SKT453M__BSC39_Zohra_2,Motorola,6
TXA135M__BSC47_ModelTown,Motorola,6
ABT258M__BSC76_Habibullah,Motorola,6
ISB479M__BSC114_MSC5_Ev_9,Motorola,5
ATK482M__BSC80_Attock,Motorola,5
ISB363M__BSC27_G7BlueArea_2,Motorola,4
DIK866M__BSC121_ChasmaChowk_2,Motorola,3
HNZ657A__Mehdiabad_1,Alcatel,3
GWD116E__GwadarCity,Alcatel,3
CHL659A__Chillas_1,Alcatel,2
CHT711E__Jhangbzr,Alcatel,2
